Field,Variable,Percentage,Gender,Prop_Top,Representation
Geology,Productivity,0.8691898312053173,male,10,1.0442428727391901
Geology,Productivity,0.13081016879468266,female,11,0.7803211258070379
Geology,Productivity,0.8691898312053173,male,11,1.0442428727391901
Geology,Productivity,0.13656785057308618,female,12,0.8146673908471388
Geology,Productivity,0.8634321494269138,male,12,1.037325605711042
Geology,Productivity,0.13656785057308618,female,13,0.8146673908471388
Geology,Productivity,0.8634321494269138,male,13,1.037325605711042
Geology,Productivity,0.13656785057308618,female,14,0.8146673908471388
Geology,Productivity,0.8634321494269138,male,14,1.037325605711042
Geology,Productivity,0.14316927468141805,female,15,0.8540468270148922
Geology,Productivity,0.8568307253185821,male,15,1.0293946683857689
Geology,Productivity,0.14316927468141805,female,16,0.8540468270148922
Geology,Productivity,0.8568307253185821,male,16,1.0293946683857689
Geology,Productivity,0.14316927468141805,female,17,0.8540468270148922
Geology,Productivity,0.8568307253185821,male,17,1.0293946683857689
Geology,Productivity,0.14316927468141805,female,18,0.8540468270148922
Geology,Productivity,0.8568307253185821,male,18,1.0293946683857689
Geology,Productivity,0.14316927468141805,female,19,0.8540468270148922
Geology,Productivity,0.8568307253185821,male,19,1.0293946683857689
Geology,Productivity,0.1508647076828895,female,20,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,20,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,21,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,21,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,22,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,22,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,23,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,23,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,24,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,24,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,25,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,25,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,26,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,26,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,27,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,27,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,28,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,28,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,29,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,29,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,30,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,30,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,31,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,31,1.0201493910298602
Geology,Productivity,0.1508647076828895,female,32,0.8999523479588032
Geology,Productivity,0.8491352923171105,male,32,1.0201493910298602
Geology,Productivity,0.1640633794502758,female,33,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,33,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,34,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,34,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,35,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,35,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,36,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,36,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,37,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,37,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,38,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,38,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,39,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,39,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,40,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,40,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,41,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,41,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,42,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,42,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,43,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,43,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,44,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,44,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,45,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,45,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,46,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,46,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,47,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,47,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,48,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,48,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,49,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,49,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,50,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,50,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,51,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,51,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,52,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,52,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,53,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,53,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,54,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,54,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,55,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,55,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,56,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,56,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,57,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,57,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,58,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,58,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,59,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,59,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,60,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,60,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,61,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,61,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,62,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,62,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,63,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,63,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,64,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,64,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,65,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,65,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,66,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,66,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,67,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,67,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,68,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,68,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,69,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,69,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,70,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,70,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,71,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,71,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,72,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,72,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,73,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,73,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,74,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,74,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,75,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,75,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,76,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,76,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,77,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,77,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,78,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,78,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,79,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,79,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,80,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,80,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,81,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,81,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,82,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,82,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,83,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,83,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,84,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,84,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,85,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,85,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,86,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,86,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,87,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,87,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,88,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,88,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,89,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,89,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,90,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,90,1.0042925339568722
Geology,Productivity,0.1640633794502758,female,91,0.9786863065461504
Geology,Productivity,0.8359366205497242,male,91,1.0042925339568722
Geology,Productivity,0.16763632877348256,female,92,1.0
Geology,Productivity,0.8323636712265174,male,92,1.0
Geology,Citations,0.08272383354350568,female,1,0.49347199469683983
Geology,Citations,0.9172761664564943,male,1,1.1020136968554326
Geology,Citations,0.09715221774193547,female,2,0.5795415495719412
Geology,Citations,0.9028477822580644,male,2,1.0846794658009113
Geology,Citations,0.1071188717259906,female,3,0.6389955716027058
Geology,Citations,0.8928811282740095,male,3,1.072705548235085
Geology,Citations,0.11381806735914385,female,4,0.6789582436688871
Geology,Citations,0.8861819326408562,male,4,1.0646571484012939
Geology,Citations,0.11946768827502773,female,5,0.7126598938852784
Geology,Citations,0.8805323117249723,male,5,1.0578697054707789
Geology,Citations,0.12517257248044178,female,6,0.7466912058756688
Geology,Citations,0.8748274275195582,male,6,1.051015869338061
Geology,Citations,0.129714182994787,female,7,0.7737832482007071
Geology,Citations,0.870285817005213,male,7,1.0455595878215298
Geology,Citations,0.13502401054580834,female,8,0.8054579310685014
Geology,Citations,0.8649759894541916,male,8,1.03918037193961
Geology,Citations,0.13800011129041234,female,9,0.8232112472284218
Geology,Citations,0.8619998887095877,male,9,1.0356048906356043
Geology,Citations,0.14086886361917247,female,10,0.8403241985185715
Geology,Citations,0.8591311363808275,male,10,1.032158377497263
Geology,Citations,0.14379875017105326,female,11,0.8578018334281249
Geology,Citations,0.8562012498289467,male,11,1.028638417829197
Geology,Citations,0.1463836707462002,female,12,0.8732216448380956
Geology,Citations,0.8536163292537998,male,12,1.0255328995749728
Geology,Citations,0.14812447956002248,female,13,0.8836060813534915
Geology,Citations,0.8518755204399775,male,13,1.0234414954519924
Geology,Citations,0.15018524816094214,female,14,0.8958991720934126
Geology,Citations,0.8498147518390579,male,14,1.0209656922998882
Geology,Citations,0.15193277872439945,female,15,0.9063237058221286
Geology,Citations,0.8480672212756005,male,15,1.0188662126807424
Geology,Citations,0.15328352339756193,female,16,0.9143812950275548
Geology,Citations,0.8467164766024381,male,16,1.0172434308128457
Geology,Citations,0.15506073469147952,female,17,0.924982883042042
Geology,Citations,0.8449392653085205,male,17,1.0151082928252653
Geology,Citations,0.15684039314361975,female,18,0.935599069074993
Geology,Citations,0.8431596068563803,male,18,1.0129702148268371
Geology,Citations,0.15836387434554974,female,19,0.9446870824732618
Geology,Citations,0.8416361256544502,male,19,1.0111399076491043
Geology,Citations,0.15925232235113698,female,20,0.9499869361033645
Geology,Citations,0.8407476776488629,male,20,1.010072528045333
Geology,Citations,0.1609711912856286,female,21,0.9602404947864244
Geology,Citations,0.8390288087143715,male,21,1.008007482448186
Geology,Citations,0.16207522639648525,female,22,0.9668263888997969
Geology,Citations,0.8379247736035147,male,22,1.0066810969402387
Geology,Citations,0.16268638755483594,female,23,0.9704721449409979
Geology,Citations,0.837313612445164,male,23,1.0059468491835457
Geology,Citations,0.16369390402075226,female,24,0.9764822769528825
Geology,Citations,0.8363060959792478,male,24,1.0047364209768082
